request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Requested INR 242600. Safe to pay today: INR 242600. Installments fit within the 90-day balance forecast. Installment plan: 2025-08-07:84101.33,2025-09-04:84101.33,2025-10-02:84101.33."
request_159,0,not_affordable,not_recommended,none,"",none,Requested ZAR 13398. Safe to pay today: ZAR 3156.8. No safe way to complete this request by the deadline was found.
request_160,573.87,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Requested EUR 1246.3. Safe to pay today: EUR 573.87. Installments fit within the 90-day balance forecast. Installment plan: 2024-06-13:432.05,2024-07-14:432.05,2024-08-14:432.05."
request_161,0,not_affordable,not_recommended,none,"",none,Requested IDR 21204000. Safe to pay today: IDR 0. No safe way to complete this request by the deadline was found.
request_162,0,not_affordable,not_recommended,none,"",none,Requested IDR 83923000. Safe to pay today: IDR 1286761.69. No safe way to complete this request by the deadline was found.
request_163,9296006.78,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,"Requested IDR 19304000. Safe to pay today: IDR 9296006.78. Installments fit within the 90-day balance forecast. Installment plan: 2024-09-10:6692053.33,2024-10-11:6692053.33,2024-11-11:6692053.33."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,reduce_to:event_15063:415150,"Requested IDR 27018000. Safe to pay today: IDR 26831933.9. Installments fit within the 90-day balance forecast. Installment plan: 2025-02-11:9366240,2025-03-11:9366240,2025-04-08:9366240. Spending changes needed: reduce_to:event_15063:415150."
request_165,80600,affordable_with_plan,full_payment,2026-04-06:80600,2026-04-06,stop:event_15135,Requested INR 80600. Safe to pay today: INR 71229.98. Full payment is safe after adjusting flexible spending. Spending changes needed: stop:event_15135.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Requested USD 2907.6. Safe to pay today: USD 2907.6. Installments fit within the 90-day balance forecast. Installment plan: 2024-12-03:1007.97,2025-01-03:1007.97,2025-02-03:1007.97."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Requested ZAR 43802. Safe to pay today: ZAR 43802. The full amount is affordable today without spending changes.
request_168,0,not_affordable,not_recommended,none,"",none,Requested INR 49380. Safe to pay today: INR 0. No safe way to complete this request by the deadline was found.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Requested ZAR 41976. Safe to pay today: ZAR 41976. The full amount is affordable today without spending changes.
request_170,30070406.29,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,stop:event_15604,"Requested IDR 36936000. Safe to pay today: IDR 29763556.29. Installments fit within the 90-day balance forecast. Installment plan: 2025-08-06:12804480,2025-09-03:12804480,2025-10-01:12804480. Spending changes needed: stop:event_15604."
request_171,0,not_affordable,not_recommended,none,"",none,Requested EUR 1878.8. Safe to pay today: EUR 28.37. No safe way to complete this request by the deadline was found.
request_172,9592.26,affordable_with_plan,partial_payment,2024-06-05:9592.26|2024-06-15:607.74,2024-06-15,none,"Requested ZAR 10200. Safe to pay today: ZAR 9592.26. A two-payment partial plan completes the request safely. Partial plan: 2024-06-05:9592.26,2024-06-15:607.74."
request_173,57776.1,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Requested INR 113000. Safe to pay today: INR 57776.1. Installments fit within the 90-day balance forecast. Installment plan: 2025-11-21:39173.33,2025-12-19:39173.33,2026-01-16:39173.33."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,stop:event_15974,"Requested EUR 1146.2. Safe to pay today: EUR 1146.2. Installments fit within the 90-day balance forecast. Installment plan: 2026-04-04:397.35,2026-05-04:397.35,2026-06-03:397.35. Spending changes needed: stop:event_15974."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Requested EUR 2346.3. Safe to pay today: EUR 2346.3. The full amount is affordable today without spending changes.
request_176,0,not_affordable,not_recommended,none,"",none,Requested EUR 1239.7. Safe to pay today: EUR 0. No safe way to complete this request by the deadline was found.
request_177,962.66,affordable_with_plan,wait,2026-03-15:1017.6,2026-03-15,stop:event_16235|reduce_to:event_16237:15.50|reduce_to:event_16317:32,"Requested USD 1017.6. Safe to pay today: USD 420.66. A payment plan completes the request safely. Spending changes needed: stop:event_16235,reduce_to:event_16237:15.50,reduce_to:event_16317:32."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Requested EUR 2938.1. Safe to pay today: EUR 2938.1. Installments fit within the 90-day balance forecast. Installment plan: 2024-12-07:1018.54,2025-01-07:1018.54,2025-02-07:1018.54."
request_179,6493592.1,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Requested IDR 41648000. Safe to pay today: IDR 6493592.1. Full payment of IDR 41648000 is expected to be safe from 2025-07-15. Earliest safe full payment: 2025-07-15.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Requested INR 66500. Safe to pay today: INR 66500. The full amount is affordable today without spending changes.
request_181,0,not_affordable,not_recommended,none,"",none,Requested USD 5059.2. Safe to pay today: USD 558.55. No safe way to complete this request by the deadline was found.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Requested ZAR 65714. Safe to pay today: ZAR 65714. The full amount is affordable today without spending changes.
request_183,24306086.29,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Requested IDR 26866000. Safe to pay today: IDR 24306086.29. Installments fit within the 90-day balance forecast. Installment plan: 2026-04-10:9313546.67,2026-05-10:9313546.67,2026-06-09:9313546.67."
request_184,0,not_affordable,not_recommended,none,"",none,Requested INR 251900. Safe to pay today: INR 12987.75. No safe way to complete this request by the deadline was found.
request_185,374.14,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,Requested EUR 1257.3. Safe to pay today: EUR 374.14. Full payment of EUR 1257.3 is expected to be safe from 2026-01-15. Earliest safe full payment: 2026-01-15.
request_186,0,not_affordable,not_recommended,none,"",none,Requested ZAR 26554. Safe to pay today: ZAR 0. No safe way to complete this request by the deadline was found.
request_187,37345.13,affordable_later,wait,2024-11-15:187500,2024-11-15,none,Requested INR 187500. Safe to pay today: INR 37345.13. Full payment of INR 187500 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_188,0,not_affordable,not_recommended,none,"",none,Requested EUR 2464. Safe to pay today: EUR 98.85. No safe way to complete this request by the deadline was found.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Requested EUR 488.4. Safe to pay today: EUR 488.4. The full amount is affordable today without spending changes.
request_190,529.07,affordable_later,wait,2025-02-15:2557.5,2025-02-15,none,Requested EUR 2557.5. Safe to pay today: EUR 529.07. Full payment of EUR 2557.5 is expected to be safe from 2025-02-15. Earliest safe full payment: 2025-02-15.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Requested EUR 664.4. Safe to pay today: EUR 664.4. The full amount is affordable today without spending changes.
request_192,0,not_affordable,not_recommended,none,"",none,Requested USD 2046. Safe to pay today: USD 180.94. No safe way to complete this request by the deadline was found.
request_193,35.09,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Requested EUR 1212.2. Safe to pay today: EUR 35.09. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-21:420.23,2024-04-21:420.23,2024-05-22:420.23."
request_194,36793.73,affordable_later,wait,2025-10-23:132800,2025-10-23,none,Requested INR 132800. Safe to pay today: INR 36793.73. Full payment of INR 132800 is expected to be safe from 2025-10-23. Earliest safe full payment: 2025-10-23.
request_195,1058.69,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Requested EUR 1170.4. Safe to pay today: EUR 1058.69. Installments fit within the 90-day balance forecast. Installment plan: 2026-01-09:405.74,2026-02-08:405.74,2026-03-10:405.74."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Requested EUR 762.3. Safe to pay today: EUR 762.3. The full amount is affordable today without spending changes.
request_197,0,not_affordable,not_recommended,none,"",none,Requested IDR 50939000. Safe to pay today: IDR 19422426.06. No safe way to complete this request by the deadline was found.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Requested INR 185800. Safe to pay today: INR 185800. The full amount is affordable today without spending changes.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Requested IDR 23674000. Safe to pay today: IDR 23674000. Installments fit within the 90-day balance forecast. Installment plan: 2024-09-07:8206986.67,2024-10-08:8206986.67,2024-11-08:8206986.67."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Requested IDR 21717000. Safe to pay today: IDR 21717000. The full amount is affordable today without spending changes.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Requested IDR 23997000. Safe to pay today: IDR 23997000. The full amount is affordable today without spending changes.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Requested INR 123900. Safe to pay today: INR 123900. The full amount is affordable today without spending changes.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Requested EUR 1442.1. Safe to pay today: EUR 1442.1. Installments fit within the 90-day balance forecast. Installment plan: 2025-05-10:499.93,2025-06-07:499.93,2025-07-05:499.93."
request_204,567.83,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,Requested EUR 588.74. Safe to pay today: EUR 567.83. Full payment of EUR 588.74 is expected to be safe from 2026-01-15. Earliest safe full payment: 2026-01-15.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Requested IDR 10621000. Safe to pay today: IDR 10621000. The full amount is affordable today without spending changes.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Requested EUR 1404.7. Safe to pay today: EUR 1404.7. Installments fit within the 90-day balance forecast. Installment plan: 2025-08-03:486.96,2025-08-31:486.96,2025-09-28:486.96."
request_207,4431.35,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Requested ZAR 11830. Safe to pay today: ZAR 4431.35. Full payment of ZAR 11830 is expected to be safe from 2026-07-15. Earliest safe full payment: 2026-07-15.
request_208,3760097.48,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Requested IDR 4413000. Safe to pay today: IDR 3760097.48. Full payment of IDR 4413000 is expected to be safe from 2024-06-15. Earliest safe full payment: 2024-06-15.
request_209,0,not_affordable,not_recommended,none,"",none,Requested ZAR 56914. Safe to pay today: ZAR 1528.92. No safe way to complete this request by the deadline was found.
request_210,983.04,affordable_with_plan,partial_payment,2026-04-06:983.04|2026-04-15:376.98,2026-04-15,none,"Requested USD 1360.02. Safe to pay today: USD 983.04. A two-payment partial plan completes the request safely. Partial plan: 2026-04-06:983.04,2026-04-15:376.98."
request_211,254.05,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,Requested EUR 1788.6. Safe to pay today: EUR 254.05. Full payment of EUR 1788.6 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_212,0,not_affordable,not_recommended,none,"",none,Requested IDR 71934000. Safe to pay today: IDR 6702727.56. No safe way to complete this request by the deadline was found.
request_213,0,not_affordable,not_recommended,none,"",none,Requested USD 3362.4. Safe to pay today: USD 2911.55. No safe way to complete this request by the deadline was found.
request_214,56150.82,affordable_with_plan,partial_payment,2024-12-04:56150.82|2024-12-15:13599.18,2024-12-15,none,"Requested INR 69750. Safe to pay today: INR 56150.82. A two-payment partial plan completes the request safely. Partial plan: 2024-12-04:56150.82,2024-12-15:13599.18."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Requested ZAR 29986. Safe to pay today: ZAR 29986. Installments fit within the 90-day balance forecast. Installment plan: 2025-05-09:10395.15,2025-06-06:10395.15,2025-07-04:10395.15."
request_216,514.87,affordable_with_plan,wait,2026-09-15:3332.4,2026-09-15,reduce_to:event_19943:44,Requested USD 3332.4. Safe to pay today: USD 471.04. A payment plan completes the request safely. Spending changes needed: reduce_to:event_19943:44.
request_217,20647.66,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Requested ZAR 37180. Safe to pay today: ZAR 20647.66. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-19:12889.07,2024-04-19:12889.07,2024-05-20:12889.07."
request_218,24219913.37,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Requested IDR 61142000. Safe to pay today: IDR 24219913.37. Installments fit within the 90-day balance forecast. Installment plan: 2025-08-07:21195893.33,2025-09-04:21195893.33,2025-10-02:21195893.33."
request_219,787.07,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Requested EUR 1673.1. Safe to pay today: EUR 787.07. Installments fit within the 90-day balance forecast. Installment plan: 2026-04-07:580.01,2026-05-07:580.01,2026-06-06:580.01."
request_220,0,not_affordable,not_recommended,none,"",none,Requested EUR 3118.5. Safe to pay today: EUR 63.3. No safe way to complete this request by the deadline was found.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Requested INR 109800. Safe to pay today: INR 109800. The full amount is affordable today without spending changes.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Requested ZAR 34078. Safe to pay today: ZAR 34078. The full amount is affordable today without spending changes.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Requested EUR 898.7. Safe to pay today: EUR 898.7. The full amount is affordable today without spending changes.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Requested IDR 10327000. Safe to pay today: IDR 10327000. Installments fit within the 90-day balance forecast. Installment plan: 2025-02-04:5370040,2025-03-04:5370040."
request_225,10838115.31,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Requested IDR 22059000. Safe to pay today: IDR 10838115.31. Installments fit within the 90-day balance forecast. Installment plan: 2026-07-20:7647120,2026-08-19:7647120,2026-09-18:7647120."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Requested INR 157000. Safe to pay today: INR 157000. The full amount is affordable today without spending changes.
request_227,0,not_affordable,not_recommended,none,"",none,Requested INR 259700. Safe to pay today: INR 7023.93. No safe way to complete this request by the deadline was found.
request_228,0,not_affordable,not_recommended,none,"",none,Requested IDR 63327000. Safe to pay today: IDR 1545975.08. No safe way to complete this request by the deadline was found.
request_229,436.13,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Requested EUR 1526.8. Safe to pay today: EUR 436.13. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-18:529.29,2024-04-18:529.29,2024-05-19:529.29."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Requested EUR 3537.6. Safe to pay today: EUR 3537.6. The full amount is affordable today without spending changes.
request_231,32553.14,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Requested ZAR 35706. Safe to pay today: ZAR 32553.14. Installments fit within the 90-day balance forecast. Installment plan: 2026-01-06:12378.08,2026-02-05:12378.08,2026-03-07:12378.08."
request_232,702.28,affordable_with_plan,wait,2024-08-15:1970.1,2024-08-15,reduce_to:event_21408:50,Requested EUR 1970.1. Safe to pay today: EUR 571.9. A payment plan completes the request safely. Spending changes needed: reduce_to:event_21408:50.
request_233,0,not_affordable,not_recommended,none,"",none,Requested IDR 6241000. Safe to pay today: IDR 0. No safe way to complete this request by the deadline was found.
request_234,178.26,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,Requested EUR 1213.3. Safe to pay today: EUR 178.26. Full payment of EUR 1213.3 is expected to be safe from 2026-09-15. Earliest safe full payment: 2026-09-15.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Requested USD 967.2. Safe to pay today: USD 967.2. The full amount is affordable today without spending changes.
request_236,0,not_affordable,not_recommended,none,"",none,Requested IDR 52383000. Safe to pay today: IDR 5492629.61. No safe way to complete this request by the deadline was found.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Requested IDR 23826000. Safe to pay today: IDR 23826000. The full amount is affordable today without spending changes.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,stop:event_21887,"Requested USD 663.6. Safe to pay today: USD 663.6. Installments fit within the 90-day balance forecast. Installment plan: 2024-12-07:230.05,2025-01-07:230.05,2025-02-07:230.05. Spending changes needed: stop:event_21887."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Requested USD 642. Safe to pay today: USD 642. The full amount is affordable today without spending changes.
request_240,0,not_affordable,not_recommended,none,"",none,Requested INR 101200. Safe to pay today: INR 13857.82. No safe way to complete this request by the deadline was found.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Requested IDR 21052000. Safe to pay today: IDR 21052000. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-17:7298026.67,2024-04-17:7298026.67,2024-05-18:7298026.67."
request_242,0,not_affordable,not_recommended,none,"",none,Requested EUR 1966.8. Safe to pay today: EUR 23.04. No safe way to complete this request by the deadline was found.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Requested ZAR 17468. Safe to pay today: ZAR 17468. The full amount is affordable today without spending changes.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Requested ZAR 49918. Safe to pay today: ZAR 49918. The full amount is affordable today without spending changes.
request_245,28885.45,affordable_later,wait,2026-01-15:128500,2026-01-15,none,Requested INR 128500. Safe to pay today: INR 28885.45. Full payment of INR 128500 is expected to be safe from 2026-01-15. Earliest safe full payment: 2026-01-15.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Requested ZAR 64086. Safe to pay today: ZAR 64086. Installments fit within the 90-day balance forecast. Installment plan: 2026-04-03:22216.48,2026-05-03:22216.48,2026-06-02:22216.48."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Requested EUR 1059.3. Safe to pay today: EUR 1059.3. The full amount is affordable today without spending changes.
request_248,0,not_affordable,not_recommended,none,"",none,Requested USD 1965.6. Safe to pay today: USD 0. No safe way to complete this request by the deadline was found.
request_249,0,not_affordable,not_recommended,none,"",none,Requested USD 643.2. Safe to pay today: USD 0. No safe way to complete this request by the deadline was found.
request_250,0,not_affordable,not_recommended,none,"",none,Requested ZAR 124278. Safe to pay today: ZAR 15179.38. No safe way to complete this request by the deadline was found.
request_251,0,not_affordable,not_recommended,none,"",none,Requested EUR 1513.6. Safe to pay today: EUR 580.37. No safe way to complete this request by the deadline was found.
request_252,3617269.41,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Requested IDR 28082000. Safe to pay today: IDR 3617269.41. Full payment of IDR 28082000 is expected to be safe from 2026-09-15. Earliest safe full payment: 2026-09-15.
request_253,1255.1,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,"Requested EUR 2840.2. Safe to pay today: EUR 1255.1. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-21:984.6,2024-04-21:984.6,2024-05-22:984.6."
request_254,619.41,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,Requested USD 3535.2. Safe to pay today: USD 619.41. Full payment of USD 3535.2 is expected to be safe from 2025-10-15. Earliest safe full payment: 2025-10-15.
request_255,0,not_affordable,not_recommended,none,"",none,Requested IDR 3345000. Safe to pay today: IDR 1196377.89. No safe way to complete this request by the deadline was found.
request_256,151967.46,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Requested INR 218700. Safe to pay today: INR 151967.46. Installments fit within the 90-day balance forecast. Installment plan: 2024-06-10:75816,2024-07-11:75816,2024-08-11:75816."
request_257,454.43,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,Requested USD 1352.4. Safe to pay today: USD 454.43. Full payment of USD 1352.4 is expected to be safe from 2026-01-15. Earliest safe full payment: 2026-01-15.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Requested USD 1113.6. Safe to pay today: USD 1113.6. The full amount is affordable today without spending changes.
request_259,210.13,affordable_later,wait,2024-11-15:935,2024-11-15,none,Requested EUR 935. Safe to pay today: EUR 210.13. Full payment of EUR 935 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_260,0,not_affordable,not_recommended,none,"",none,Requested IDR 52079000. Safe to pay today: IDR 8105245.77. No safe way to complete this request by the deadline was found.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Requested EUR 1830.4. Safe to pay today: EUR 1830.4. The full amount is affordable today without spending changes.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Requested IDR 9236000. Safe to pay today: IDR 9236000. The full amount is affordable today without spending changes.
request_263,0,not_affordable,not_recommended,none,"",none,Requested ZAR 51546. Safe to pay today: ZAR 7663.75. No safe way to complete this request by the deadline was found.
request_264,26616.34,affordable_later,wait,2026-06-15:111300,2026-06-15,none,Requested INR 111300. Safe to pay today: INR 26616.34. Full payment of INR 111300 is expected to be safe from 2026-06-15. Earliest safe full payment: 2026-06-15.
request_265,0,not_affordable,not_recommended,none,"",none,Requested INR 45970. Safe to pay today: INR 0. No safe way to complete this request by the deadline was found.
request_266,789.52,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Requested EUR 935. Safe to pay today: EUR 789.52. Installments fit within the 90-day balance forecast. Installment plan: 2025-08-03:324.13,2025-08-31:324.13,2025-09-28:324.13."
request_267,1722.53,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Requested EUR 1925. Safe to pay today: EUR 1722.53. Installments fit within the 90-day balance forecast. Installment plan: 2026-01-08:667.33,2026-02-07:667.33,2026-03-09:667.33."
request_268,1036.61,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Requested EUR 2426.6. Safe to pay today: EUR 1036.61. Installments fit within the 90-day balance forecast. Installment plan: 2024-06-14:841.22,2024-07-15:841.22,2024-08-15:841.22."
request_269,9671.31,affordable_later,wait,2025-12-15:15490,2025-12-15,none,Requested ZAR 15490. Safe to pay today: ZAR 9671.31. Full payment of ZAR 15490 is expected to be safe from 2025-12-15. Earliest safe full payment: 2025-12-15.
request_270,0,not_affordable,not_recommended,none,"",none,Requested USD 3028.8. Safe to pay today: USD 81.63. No safe way to complete this request by the deadline was found.
request_271,17101.01,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Requested INR 91300. Safe to pay today: INR 17101.01. Full payment of INR 91300 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_272,5377003.75,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Requested IDR 13585000. Safe to pay today: IDR 5377003.75. Installments fit within the 90-day balance forecast. Installment plan: 2025-02-12:4709466.67,2025-03-12:4709466.67,2025-04-09:4709466.67."
request_273,10966841.98,affordable_with_plan,partial_payment,2026-04-07:10966841.98|2026-04-15:4894158.02,2026-04-15,none,"Requested IDR 15861000. Safe to pay today: IDR 10966841.98. A two-payment partial plan completes the request safely. Partial plan: 2026-04-07:10966841.98,2026-04-15:4894158.02."
request_274,2299.16,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Requested EUR 2713.7. Safe to pay today: EUR 2299.16. Installments fit within the 90-day balance forecast. Installment plan: 2024-12-04:940.75,2025-01-04:940.75,2025-02-04:940.75."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Requested IDR 15884000. Safe to pay today: IDR 15884000. The full amount is affordable today without spending changes.
